ID Number,Preferred Pronouns,Current Grade Level,Program,First Paying Job,Know employee,Applied Before,Comfortable speaking to crowd,Uncomfortable with,Extra activities,Commit Summer,Commit Weekday,Hear about source,Application Year,Current Age,Rejected,EECode,EarnHours,EarnRate,EarnAmount,Dist Position Desc,Year,Month
1489.0,masculine,9.0,zoocamp,1,0,0,1.0,invertebrates,0,yes,yes,other,2022,,0,1489.0,5.5,13.0,71.5,WILD Steward,2022.0,4.0
1489.0,masculine,9.0,zoocamp,1,0,0,1.0,invertebrates,0,yes,yes,other,2022,,0,1489.0,14.47,13.0,188.11,WILD Steward,2022.0,5.0
1489.0,masculine,9.0,zoocamp,1,0,0,1.0,invertebrates,0,yes,yes,other,2022,,0,1489.0,7.13,13.0,92.69,WILD Steward,2022.0,5.0
1489.0,masculine,9.0,zoocamp,1,0,0,1.0,invertebrates,0,yes,yes,other,2022,,0,1489.0,130.38,13.0,1694.94,WILD Steward,2022.0,6.0
1489.0,masculine,9.0,zoocamp,1,0,0,1.0,invertebrates,0,yes,yes,other,2022,,0,1489.0,123.8,13.0,1609.4,WILD Steward,2022.0,7.0
1489.0,masculine,9.0,zoocamp,1,0,0,1.0,invertebrates,0,yes,yes,other,2022,,0,1489.0,75.83,13.0,985.7899999999998,WILD Steward,2022.0,8.0
1489.0,masculine,9.0,zoocamp,1,0,0,1.0,invertebrates,0,yes,yes,other,2022,,0,1489.0,27.94,13.0,363.22,WILD Steward,2022.0,9.0
1489.0,masculine,9.0,zoocamp,1,0,0,1.0,invertebrates,0,yes,yes,other,2022,,0,1489.0,17.87,13.0,232.31,WILD Steward,2022.0,10.0
1489.0,masculine,9.0,zoocamp,1,0,0,1.0,invertebrates,0,yes,yes,other,2022,,0,1489.0,34.93,13.0,454.09,WILD Steward,2022.0,11.0
1489.0,masculine,9.0,zoocamp,1,0,0,1.0,invertebrates,0,yes,yes,other,2022,,0,1489.0,52.95,13.0,688.35,WILD Steward,2022.0,12.0
,masculine,11.0,other,0,0,0,1.0,invertebrates,0,unsure,yes,other,2022,,1,,,,,,,
1488.0,masculine,11.0,other,0,0,0,1.0,invertebrates,1,yes,yes,friend,2022,,0,1488.0,5.5,13.0,71.5,WILD Steward,2022.0,4.0
1488.0,masculine,11.0,other,0,0,0,1.0,invertebrates,1,yes,yes,friend,2022,,0,1488.0,20.86,13.0,271.18,WILD Steward,2022.0,5.0
1488.0,masculine,11.0,other,0,0,0,1.0,invertebrates,1,yes,yes,friend,2022,,0,1488.0,136.29,13.0,1771.77,WILD Steward,2022.0,6.0
1488.0,masculine,11.0,other,0,0,0,1.0,invertebrates,1,yes,yes,friend,2022,,0,1488.0,120.68,13.0,1568.84,WILD Steward,2022.0,7.0
1488.0,masculine,11.0,other,0,0,0,1.0,invertebrates,1,yes,yes,friend,2022,,0,1488.0,69.85,13.0,908.05,WILD Steward,2022.0,8.0
1488.0,masculine,11.0,other,0,0,0,1.0,invertebrates,1,yes,yes,friend,2022,,0,1488.0,20.76,13.0,269.88,WILD Steward,2022.0,9.0
1488.0,masculine,11.0,other,0,0,0,1.0,invertebrates,1,yes,yes,friend,2022,,0,1488.0,14.2,13.0,184.6,WILD Steward,2022.0,10.0
1488.0,masculine,11.0,other,0,0,0,1.0,invertebrates,1,yes,yes,friend,2022,,0,1488.0,7.07,13.0,91.91,WILD Steward,2022.0,11.0
