ID Number,Current Grade Level,Application Year,Current Age,Rejected,EECode,EarnHours_Sum_AvgPerMonth,Preferred Pronouns_feminine,Preferred Pronouns_masculine,Preferred Pronouns_neutral,Preferred Pronouns_unknown,Program_homeschool,Program_other,Program_unknown,Program_zoocamp,First Paying Job_0,First Paying Job_1,Know employee_0,Know employee_1,Applied Before_0,Applied Before_1,Comfortable speaking to crowd_0.0,Comfortable speaking to crowd_1.0,Comfortable speaking to crowd_unknown,Uncomfortable with_birds,Uncomfortable with_invertebrates,Uncomfortable with_mammals,Uncomfortable with_none,Uncomfortable with_reptiles,Uncomfortable with_unknown,Extra activities_0,Extra activities_1,Commit Summer_unknown,Commit Summer_unsure,Commit Summer_yes,Commit Weekday_no,Commit Weekday_unknown,Commit Weekday_unsure,Commit Weekday_yes,Hear about source_family,Hear about source_friend,Hear about source_other,Hear about source_school,Hear about source_social media,Hear about source_unknown
1489.0,9.0,2022,15.339622641509434,0,1489.0,54.53333333333333,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
unknown,11.0,2022,15.339622641509434,1,unknown,unknown,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1488.0,11.0,2022,15.339622641509434,0,1488.0,90.91555555555556,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
unknown,9.0,2022,15.339622641509434,1,unknown,unknown,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
unknown,10.0,2022,15.339622641509434,1,unknown,unknown,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
unknown,10.0,2022,15.339622641509434,1,unknown,unknown,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
1487.0,11.0,2022,15.339622641509434,0,1487.0,46.382222222222225,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
unknown,9.0,2022,15.339622641509434,1,unknown,unknown,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
1476.0,10.0,2022,15.339622641509434,0,1476.0,43.35888888888889,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
1479.0,10.0,2022,15.339622641509434,0,1479.0,53.571111111111115,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
